2304799,-1054396,-66.97593,114.5831
2304784,-1054409,-66.97599,114.5835
2304772,-1054422,-66.97605,114.5839
2304758,-1054436,-66.97611,114.5843
2304744,-1054449,-66.97617,114.5847
2304730,-1054463,-66.97623,114.5851
2304716,-1054476,-66.9763,114.5855
2304702,-1054490,-66.97636,114.5859
2304689,-1054503,-66.97642,114.5863
2304675,-1054517,-66.97648,114.5867
2304660,-1054530,-66.97655,114.5871
2304647,-1054543,-66.97661,114.5875
2304634,-1054557,-66.97667,114.5879
2304619,-1054570,-66.97673,114.5883
2304605,-1054584,-66.97679,114.5888
2304592,-1054597,-66.97685,114.5892
2304578,-1054610,-66.97691,114.5896
2304564,-1054624,-66.97697,114.59
2304550,-1054637,-66.97704,114.5904
2304537,-1054651,-66.9771,114.5908
2304524,-1054664,-66.97716,114.5912
2304510,-1054677,-66.97722,114.5916
2304495,-1054691,-66.97729,114.592
2304481,-1054704,-66.97735,114.5924
2304468,-1054718,-66.97741,114.5928
2304454,-1054730,-66.97747,114.5932
2304440,-1054745,-66.97753,114.5936
2304426,-1054758,-66.97759,114.594
2304412,-1054771,-66.97765,114.5944
2304398,-1054785,-66.97771,114.5948
2304384,-1054798,-66.97778,114.5952
2304371,-1054812,-66.97784,114.5956
2304358,-1054825,-66.9779,114.596
2304344,-1054838,-66.97796,114.5965
2304330,-1054852,-66.97802,114.5969
2304317,-1054865,-66.97808,114.5973
2304302,-1054878,-66.97814,114.5977
2304289,-1054892,-66.9782,114.5981
2304275,-1054905,-66.97826,114.5985
2304262,-1054918,-66.97832,114.5989
2304248,-1054932,-66.97839,114.5993
2304234,-1054946,-66.97845,114.5997
2304220,-1054959,-66.97851,114.6001
2304206,-1054972,-66.97857,114.6005
2304193,-1054985,-66.97863,114.6009
2304178,-1054999,-66.9787,114.6013
2304165,-1055012,-66.97876,114.6017
2304152,-1055025,-66.97881,114.6021
2304139,-1055039,-66.97887,114.6025
2304124,-1055052,-66.97894,114.6029
2304110,-1055066,-66.979,114.6033
2304096,-1055079,-66.97906,114.6037
2304083,-1055093,-66.97913,114.6041
2304068,-1055106,-66.97919,114.6045
2304055,-1055120,-66.97925,114.6049
2304042,-1055132,-66.97931,114.6053
2304028,-1055147,-66.97937,114.6058
2304014,-1055160,-66.97943,114.6062
2304000,-1055173,-66.97949,114.6066
2303987,-1055186,-66.97955,114.607
2303973,-1055199,-66.97961,114.6074
2303959,-1055213,-66.97968,114.6078
2303946,-1055226,-66.97974,114.6082
2303932,-1055240,-66.9798,114.6086
2303918,-1055253,-66.97986,114.609
2303904,-1055267,-66.97992,114.6094
2303891,-1055280,-66.97998,114.6098
2303877,-1055293,-66.98004,114.6102
2303863,-1055307,-66.9801,114.6106
2303850,-1055320,-66.98016,114.611
2303836,-1055333,-66.98022,114.6114
2303822,-1055347,-66.98029,114.6118
2303808,-1055360,-66.98035,114.6122
2303795,-1055374,-66.98041,114.6126
2303781,-1055386,-66.98047,114.613
2303768,-1055400,-66.98052,114.6134
2303753,-1055414,-66.98059,114.6138
2303740,-1055427,-66.98065,114.6142
2303728,-1055440,-66.98071,114.6146
2303713,-1055454,-66.98077,114.615
2303700,-1055467,-66.98083,114.6154
2303686,-1055481,-66.98089,114.6158
2303672,-1055494,-66.98095,114.6162
2303659,-1055507,-66.98101,114.6167
2303645,-1055521,-66.98107,114.6171
2303631,-1055534,-66.98113,114.6175
2303618,-1055547,-66.98119,114.6179
2303604,-1055561,-66.98125,114.6183
2303590,-1055574,-66.98131,114.6187
2303577,-1055587,-66.98137,114.6191
2303563,-1055600,-66.98143,114.6195
