2355308,-1006081,-66.7401,113.13
2355293,-1006095,-66.74018,113.1304
2355278,-1006108,-66.74026,113.1308
2355263,-1006122,-66.74033,113.1312
2355248,-1006136,-66.7404,113.1316
2355232,-1006149,-66.74048,113.1321
2355218,-1006164,-66.74055,113.1325
2355202,-1006177,-66.74063,113.1329
2355187,-1006190,-66.74071,113.1333
2355172,-1006204,-66.74078,113.1337
2355157,-1006218,-66.74086,113.1341
2355142,-1006232,-66.74094,113.1345
2355126,-1006245,-66.74101,113.135
2355112,-1006259,-66.74109,113.1354
2355097,-1006273,-66.74116,113.1358
2355081,-1006287,-66.74123,113.1362
2355066,-1006300,-66.74131,113.1366
2355050,-1006314,-66.74139,113.137
2355036,-1006328,-66.74146,113.1374
2355020,-1006341,-66.74154,113.1379
2355005,-1006355,-66.74162,113.1383
2354990,-1006369,-66.74169,113.1387
2354975,-1006382,-66.74177,113.1391
2354961,-1006396,-66.74184,113.1395
2354946,-1006410,-66.74191,113.1399
2354930,-1006423,-66.74199,113.1403
2354915,-1006437,-66.74207,113.1408
2354900,-1006450,-66.74214,113.1412
2354885,-1006464,-66.74222,113.1416
2354868,-1006478,-66.74229,113.142
2354854,-1006492,-66.74237,113.1424
2354839,-1006505,-66.74245,113.1428
2354823,-1006519,-66.74252,113.1432
2354808,-1006533,-66.7426,113.1437
2354794,-1006546,-66.74267,113.1441
2354779,-1006560,-66.74274,113.1445
2354764,-1006574,-66.74282,113.1449
2354748,-1006587,-66.7429,113.1453
2354734,-1006601,-66.74297,113.1457
2354718,-1006614,-66.74305,113.1461
2354702,-1006628,-66.74313,113.1466
2354688,-1006642,-66.7432,113.147
2354672,-1006655,-66.74328,113.1474
2354658,-1006670,-66.74335,113.1478
2354643,-1006684,-66.74342,113.1482
2354627,-1006697,-66.7435,113.1486
2354612,-1006711,-66.74358,113.149
2354597,-1006724,-66.74365,113.1495
2354582,-1006738,-66.74373,113.1499
2354566,-1006751,-66.7438,113.1503
2354552,-1006765,-66.74388,113.1507
2354536,-1006778,-66.74396,113.1511
2354522,-1006793,-66.74403,113.1515
2354506,-1006806,-66.7441,113.1519
2354492,-1006820,-66.74418,113.1524
2354476,-1006834,-66.74426,113.1528
2354461,-1006847,-66.74433,113.1532
2354446,-1006860,-66.74441,113.1536
2354431,-1006875,-66.74448,113.154
2354416,-1006889,-66.74455,113.1544
2354401,-1006902,-66.74463,113.1549
2354386,-1006916,-66.74471,113.1553
2354370,-1006929,-66.74478,113.1557
2354356,-1006943,-66.74486,113.1561
2354340,-1006957,-66.74493,113.1565
2354325,-1006970,-66.745,113.1569
2354310,-1006984,-66.74508,113.1573
2354295,-1006998,-66.74516,113.1578
