2347293,-999647.8,-66.82764,113.0678
2347278,-999663.3,-66.82771,113.0683
2347262,-999678.7,-66.82778,113.0687
2347247,-999694.1,-66.82785,113.0692
2347232,-999709.6,-66.82792,113.0696
2347217,-999724.8,-66.82799,113.0701
2347202,-999739.8,-66.82806,113.0705
2347186,-999755.3,-66.82813,113.071
2347171,-999770.8,-66.8282,113.0714
2347155,-999786.4,-66.82828,113.0719
2347140,-999801.2,-66.82835,113.0723
2347126,-999816.4,-66.82841,113.0728
2347110,-999832.4,-66.82849,113.0732
2347094,-999846.9,-66.82856,113.0737
2347079,-999862.7,-66.82863,113.0741
2347064,-999878.2,-66.8287,113.0746
2347050,-999893.1,-66.82877,113.075
2347033,-999908.2,-66.82885,113.0755
2347018,-999924.2,-66.82892,113.076
2347002,-999938.4,-66.82899,113.0764
2346987,-999954.1,-66.82906,113.0769
2346972,-999969.6,-66.82914,113.0773
2346956,-999985.4,-66.82921,113.0778
2346940,-999999.6,-66.82928,113.0782
2346926,-1000015,-66.82935,113.0786
2346910,-1000030,-66.82943,113.0791
2346895,-1000045,-66.8295,113.0796
2346880,-1000061,-66.82957,113.08
2346864,-1000076,-66.82964,113.0805
2346848,-1000091,-66.82972,113.0809
2346833,-1000107,-66.8298,113.0814
2346818,-1000122,-66.82986,113.0818
2346801,-1000137,-66.82994,113.0823
2346787,-1000152,-66.83001,113.0827
2346771,-1000167,-66.83009,113.0831
2346756,-1000182,-66.83015,113.0836
2346740,-1000198,-66.83023,113.0841
2346725,-1000212,-66.8303,113.0845
2346710,-1000228,-66.83038,113.085
2346694,-1000244,-66.83044,113.0854
2346678,-1000259,-66.83052,113.0859
2346662,-1000273,-66.8306,113.0863
2346648,-1000289,-66.83067,113.0867
2346632,-1000304,-66.83074,113.0872
2346617,-1000319,-66.83081,113.0877
2346601,-1000335,-66.83089,113.0881
2346585,-1000349,-66.83096,113.0886
2346570,-1000365,-66.83103,113.089
2346555,-1000380,-66.83111,113.0895
2346538,-1000395,-66.83118,113.0899
2346523,-1000410,-66.83126,113.0904
2346508,-1000426,-66.83133,113.0908
2346492,-1000440,-66.83141,113.0912
2346477,-1000455,-66.83148,113.0917
2346462,-1000471,-66.83155,113.0922
2346446,-1000485,-66.83163,113.0926
2346431,-1000502,-66.8317,113.0931
2346414,-1000516,-66.83177,113.0935
2346399,-1000532,-66.83185,113.094
2346384,-1000547,-66.83192,113.0944
2346368,-1000562,-66.83199,113.0948
2346352,-1000577,-66.83207,113.0953
2346337,-1000592,-66.83214,113.0958
2346322,-1000608,-66.83221,113.0962
2346305,-1000622,-66.83229,113.0967
2346290,-1000638,-66.83236,113.0971
2346276,-1000653,-66.83244,113.0976
2346260,-1000668,-66.8325,113.098
2346244,-1000683,-66.83258,113.0985
2346228,-1000699,-66.83266,113.0989
2346214,-1000714,-66.83273,113.0994
2346198,-1000729,-66.8328,113.0998
2346182,-1000744,-66.83288,113.1003
2346166,-1000760,-66.83295,113.1007
2346152,-1000775,-66.83302,113.1012
2346135,-1000790,-66.8331,113.1016
2346120,-1000805,-66.83318,113.1021
2346104,-1000820,-66.83324,113.1025
2346088,-1000835,-66.83332,113.103
2346073,-1000851,-66.8334,113.1034
2346057,-1000865,-66.83347,113.1039
