2346872,-1040706,-66.6863,113.9146
2346866,-1040725,-66.68628,113.915
2346860,-1040745,-66.68626,113.9155
2346855,-1040765,-66.68623,113.916
2346849,-1040786,-66.6862,113.9164
2346844,-1040806,-66.68618,113.9169
2346838,-1040825,-66.68616,113.9173
2346831,-1040846,-66.68613,113.9178
2346826,-1040865,-66.6861,113.9183
2346820,-1040885,-66.68608,113.9187
2346814,-1040905,-66.68606,113.9192
2346809,-1040924,-66.68604,113.9196
2346803,-1040945,-66.686,113.9201
2346798,-1040965,-66.68598,113.9206
2346791,-1040984,-66.68596,113.921
2346785,-1041005,-66.68594,113.9215
2346780,-1041025,-66.68591,113.9219
2346774,-1041045,-66.68588,113.9224
2346768,-1041064,-66.68586,113.9228
2346762,-1041084,-66.68584,113.9233
2346757,-1041104,-66.68581,113.9238
2346751,-1041124,-66.68578,113.9242
2346745,-1041144,-66.68576,113.9247
2346740,-1041164,-66.68573,113.9251
2346734,-1041184,-66.68571,113.9256
2346728,-1041204,-66.68568,113.9261
2346722,-1041224,-66.68565,113.9265
2346717,-1041244,-66.68563,113.927
2346710,-1041264,-66.68561,113.9274
2346706,-1041284,-66.68558,113.9279
2346700,-1041304,-66.68555,113.9284
2346694,-1041323,-66.68553,113.9288
2346689,-1041344,-66.6855,113.9293
2346682,-1041363,-66.68548,113.9297
2346677,-1041384,-66.68546,113.9302
2346672,-1041404,-66.68542,113.9306
2346665,-1041423,-66.6854,113.9311
2346660,-1041443,-66.68538,113.9316
2346654,-1041464,-66.68535,113.932
2346649,-1041483,-66.68533,113.9325
2346642,-1041503,-66.6853,113.9329
2346638,-1041524,-66.68527,113.9334
2346631,-1041543,-66.68525,113.9338
2346625,-1041563,-66.68523,113.9343
2346620,-1041583,-66.6852,113.9348
2346614,-1041603,-66.68517,113.9352
2346608,-1041623,-66.68515,113.9357
2346603,-1041643,-66.68512,113.9361
2346597,-1041663,-66.6851,113.9366
2346591,-1041682,-66.68507,113.9371
2346586,-1041703,-66.68504,113.9375
2346580,-1041723,-66.68502,113.938
2346574,-1041742,-66.685,113.9384
2346568,-1041762,-66.68497,113.9389
2346562,-1041782,-66.68494,113.9394
2346557,-1041802,-66.68492,113.9398
2346550,-1041822,-66.6849,113.9403
2346544,-1041842,-66.68488,113.9407
2346540,-1041863,-66.68484,113.9412
2346533,-1041882,-66.68482,113.9417
2346528,-1041902,-66.6848,113.9421
2346522,-1041922,-66.68477,113.9426
2346516,-1041942,-66.68475,113.943
2346510,-1041963,-66.68472,113.9435
2346504,-1041982,-66.6847,113.944
2346500,-1042002,-66.68467,113.9444
2346493,-1042022,-66.68465,113.9449
2346487,-1042042,-66.68462,113.9453
2346481,-1042062,-66.6846,113.9458
2346475,-1042082,-66.68458,113.9463
2346470,-1042102,-66.68455,113.9467
2346464,-1042122,-66.68452,113.9472
2346458,-1042142,-66.6845,113.9476
2346452,-1042162,-66.68448,113.9481
2346446,-1042182,-66.68446,113.9486
2346440,-1042202,-66.68443,113.949
2346435,-1042222,-66.6844,113.9495
2346428,-1042242,-66.68438,113.9499
2346422,-1042262,-66.68436,113.9504
2346417,-1042282,-66.68433,113.9509
2346411,-1042302,-66.6843,113.9513
2346406,-1042322,-66.68428,113.9518
2346400,-1042342,-66.68426,113.9522
2346394,-1042361,-66.68423,113.9527
2346388,-1042382,-66.68421,113.9532
2346382,-1042402,-66.68419,113.9536
2346375,-1042422,-66.68417,113.9541
2346370,-1042442,-66.68414,113.9546
2346364,-1042461,-66.68411,113.955
2346358,-1042481,-66.68409,113.9555
2346352,-1042501,-66.68407,113.9559
2346346,-1042522,-66.68404,113.9564
2346340,-1042541,-66.68402,113.9569
2346334,-1042561,-66.684,113.9573
2346328,-1042582,-66.68398,113.9578
2346322,-1042601,-66.68395,113.9582
2346316,-1042621,-66.68393,113.9587
2346310,-1042641,-66.68391,113.9592
2346304,-1042660,-66.68388,113.9596
2346298,-1042681,-66.68386,113.9601
2346292,-1042700,-66.68384,113.9605
2346286,-1042720,-66.68382,113.961
2346280,-1042741,-66.68378,113.9615
2346275,-1042761,-66.68376,113.9619
2346268,-1042781,-66.68374,113.9624
2346262,-1042800,-66.68372,113.9628
2346256,-1042820,-66.6837,113.9633
2346250,-1042840,-66.68367,113.9638
2346244,-1042860,-66.68365,113.9642
2346239,-1042880,-66.68362,113.9647
2346232,-1042900,-66.68361,113.9651
2346226,-1042919,-66.68359,113.9656
2346221,-1042940,-66.68356,113.9661
2346214,-1042960,-66.68353,113.9665
2346208,-1042980,-66.68351,113.967
2346202,-1043000,-66.68349,113.9674
2346196,-1043019,-66.68346,113.9679
2346190,-1043040,-66.68344,113.9684
2346184,-1043059,-66.68342,113.9688
2346178,-1043078,-66.6834,113.9693
2346173,-1043099,-66.68337,113.9697
2346167,-1043118,-66.68335,113.9702
2346160,-1043138,-66.68333,113.9707
2346155,-1043158,-66.6833,113.9711
2346149,-1043178,-66.68328,113.9716
2346143,-1043198,-66.68325,113.972
2346138,-1043218,-66.68323,113.9725
2346131,-1043238,-66.6832,113.973
2346125,-1043258,-66.68318,113.9734
2346119,-1043278,-66.68316,113.9739
2346113,-1043298,-66.68314,113.9743
2346108,-1043318,-66.68311,113.9748
2346102,-1043338,-66.68308,113.9753
2346096,-1043358,-66.68306,113.9757
2346090,-1043378,-66.68304,113.9762
2346084,-1043397,-66.68301,113.9766
2346079,-1043417,-66.68298,113.9771
2346073,-1043438,-66.68296,113.9776
2346067,-1043457,-66.68294,113.978
2346062,-1043478,-66.68291,113.9785
2346056,-1043497,-66.68288,113.9789
2346050,-1043517,-66.68286,113.9794
2346044,-1043537,-66.68284,113.9798
2346038,-1043557,-66.68281,113.9803
2346033,-1043577,-66.68279,113.9808
2346027,-1043598,-66.68275,113.9812
2346022,-1043617,-66.68273,113.9817
2346015,-1043636,-66.68271,113.9821
2346010,-1043657,-66.68268,113.9826
2346004,-1043677,-66.68266,113.983
2345999,-1043697,-66.68262,113.9835
2345993,-1043717,-66.6826,113.984
2345988,-1043737,-66.68258,113.9844
2345981,-1043757,-66.68255,113.9849
2345976,-1043777,-66.68253,113.9853
2345970,-1043797,-66.6825,113.9858
2345964,-1043817,-66.68247,113.9863
2345960,-1043837,-66.68244,113.9867
2345953,-1043857,-66.68242,113.9872
2345948,-1043877,-66.68239,113.9876
2345942,-1043897,-66.68237,113.9881
2345936,-1043917,-66.68233,113.9886
2345931,-1043937,-66.68231,113.989
2345925,-1043957,-66.68228,113.9895
2345920,-1043977,-66.68226,113.9899
2345914,-1043997,-66.68223,113.9904
2345910,-1044017,-66.6822,113.9909
2345904,-1044037,-66.68217,113.9913
2345898,-1044058,-66.68214,113.9918
2345892,-1044077,-66.68212,113.9922
2345887,-1044097,-66.68209,113.9927
2345880,-1044117,-66.68207,113.9931
2345876,-1044137,-66.68204,113.9936
2345871,-1044158,-66.68201,113.9941
2345865,-1044177,-66.68198,113.9945
2345859,-1044197,-66.68195,113.995
2345854,-1044218,-66.68192,113.9954
2345848,-1044237,-66.6819,113.9959
2345842,-1044257,-66.68187,113.9964
2345838,-1044278,-66.68184,113.9968
2345832,-1044297,-66.68182,113.9973
2345827,-1044318,-66.68179,113.9977
2345821,-1044338,-66.68176,113.9982
2345815,-1044357,-66.68173,113.9986
2345810,-1044377,-66.6817,113.9991
2345806,-1044398,-66.68167,113.9995
2345800,-1044418,-66.68164,114
2345794,-1044438,-66.68162,114.0005
2345789,-1044458,-66.68159,114.0009
2345784,-1044478,-66.68156,114.0014
2345779,-1044498,-66.68153,114.0018
2345772,-1044518,-66.6815,114.0023
2345768,-1044538,-66.68147,114.0027
2345762,-1044558,-66.68144,114.0032
2345757,-1044578,-66.68141,114.0037
2345751,-1044598,-66.68139,114.0041
2345746,-1044618,-66.68136,114.0046
2345741,-1044638,-66.68133,114.005
2345736,-1044658,-66.6813,114.0055
2345730,-1044678,-66.68127,114.0059
2345724,-1044698,-66.68124,114.0064
2345719,-1044718,-66.68121,114.0069
2345714,-1044737,-66.68118,114.0073
2345710,-1044758,-66.68115,114.0078
2345704,-1044778,-66.68112,114.0082
2345698,-1044798,-66.68109,114.0087
2345693,-1044817,-66.68107,114.0091
2345688,-1044837,-66.68104,114.0096
2345683,-1044857,-66.68101,114.01
2345677,-1044878,-66.68098,114.0105
2345672,-1044897,-66.68095,114.0109
2345668,-1044917,-66.68092,114.0114
2345661,-1044937,-66.68089,114.0118
2345656,-1044957,-66.68086,114.0123
2345651,-1044978,-66.68083,114.0128
2345646,-1044997,-66.6808,114.0132
2345641,-1045017,-66.68077,114.0137
2345636,-1045037,-66.68074,114.0141
2345630,-1045056,-66.68072,114.0146
2345625,-1045077,-66.68069,114.015
2345620,-1045097,-66.68066,114.0155
2345614,-1045116,-66.68063,114.0159
2345609,-1045137,-66.6806,114.0164
2345603,-1045156,-66.68057,114.0168
